year,city,city_avg_temp,glob_avg_temp
1750,Prague,9.11,8.72
1750,New York,10.07,8.72
1751,New York,10.79,7.98
1751,Prague,9.13,7.98
1752,New York,2.81,5.78
1752,Prague,3.94,5.78
1753,New York,9.52,8.39
1753,Prague,8.08,8.39
1754,New York,9.88,8.47
1754,Prague,7.85,8.47
1755,New York,6.61,8.36
1755,Prague,7.62,8.36
1756,New York,9.94,8.85
1756,Prague,8.75,8.85
1757,Prague,8.33,9.02
1757,New York,8.89,9.02
1758,New York,8.15,6.74
1758,Prague,7.49,6.74
1759,Prague,8.35,7.99
1759,New York,9.01,7.99
1760,New York,7.73,7.19
1760,Prague,8.37,7.19
1761,New York,10.18,8.77
1761,Prague,8.73,8.77
1762,Prague,7.96,8.61
1762,New York,9.55,8.61
1763,Prague,7.87,7.50
1763,New York,7.23,7.50
1764,New York,9.55,8.40
1764,Prague,8.34,8.40
1765,New York,8.96,8.25
1765,Prague,7.99,8.25
1766,New York,10.09,8.41
1766,Prague,8.04,8.41
1767,New York,8.52,8.22
1767,Prague,7.46,8.22
1768,Prague,7.23,6.78
1768,New York,8.67,6.78
1769,New York,9.10,7.69
1769,Prague,7.81,7.69
1770,Prague,7.83,7.69
1770,New York,9.04,7.69
1771,Prague,6.96,7.85
1771,New York,10.18,7.85
1772,Prague,8.87,8.19
1772,New York,9.64,8.19
1773,Prague,8.81,8.22
1773,New York,10.08,8.22
1774,New York,9.52,8.77
1774,Prague,8.18,8.77
1775,New York,10.24,9.18
1775,Prague,9.37,9.18
1776,New York,9.13,8.30
1776,Prague,7.64,8.30
1777,New York,8.77,8.26
1777,Prague,7.75,8.26
1778,Prague,8.99,8.54
1778,New York,6.89,8.54
1779,New York,0.25,8.98
1779,Prague,9.48,8.98
1780,New York,,9.43
1780,Prague,7.92,9.43
1781,Prague,9.22,8.10
1781,New York,9.79,8.10
1782,Prague,7.93,7.90
1782,New York,9.15,7.90
1783,Prague,9.01,7.68
1783,New York,8.81,7.68
1784,New York,8.40,7.86
1784,Prague,7.16,7.86
1785,Prague,6.77,7.36
1785,New York,8.49,7.36
1786,New York,8.98,8.26
1786,Prague,6.79,8.26
1787,Prague,8.58,8.03
1787,New York,8.97,8.03
1788,New York,9.77,8.45
1788,Prague,7.74,8.45
1789,New York,9.42,8.33
1789,Prague,8.26,8.33
1790,New York,9.39,7.98
1790,Prague,8.33,7.98
1791,Prague,9.00,8.23
1791,New York,9.37,8.23
1792,New York,8.72,8.09
1792,Prague,8.31,8.09
1793,New York,9.88,8.23
1793,Prague,8.55,8.23
1794,Prague,9.44,8.53
1794,New York,9.83,8.53
1795,New York,9.21,8.35
1795,Prague,8.13,8.35
1796,New York,8.97,8.27
1796,Prague,8.19,8.27
1797,New York,8.85,8.51
1797,Prague,9.39,8.51
1798,New York,9.71,8.67
1798,Prague,8.63,8.67
1799,New York,9.19,8.51
1799,Prague,6.14,8.51
1800,New York,9.58,8.48
1800,Prague,8.24,8.48
1801,Prague,9.11,8.59
1801,New York,10.00,8.59
1802,Prague,8.51,8.58
1802,New York,10.29,8.58
1803,New York,10.07,8.50
1803,Prague,7.45,8.50
1804,Prague,7.79,8.84
1804,New York,9.69,8.84
1805,New York,10.43,8.56
1805,Prague,6.38,8.56
1806,New York,9.38,8.43
1806,Prague,9.18,8.43
1807,Prague,8.91,8.28
